F/MHz,dB (252a),deg (252a),dB (252b),deg (252b),dB (254a),deg (254a),dB (254b),deg (254b),dB (255a),deg (255a),dB (255b),deg (255b),dB (256b),deg (256b)
33.627255,-32.5889494618174,-144.439536289624,-39.688268075074,-75.9899842159892,-29.3641424383691,-42.8852484312545,-35.5480547589896,-116.577596461385,-37.7621421801616,-87.602149312556,-30.751805058266,-148.393922479028,-39.3114065382474,-81.5216240613598
33.827655,-32.4734737388275,-145.374391281584,-40.0409178349452,-75.964705413604,-29.326440797088,-42.4356690436095,-37.1700404968035,-114.020225428512,-38.4088359071927,-95.2335889972387,-31.1898185640994,-150.402627022451,-39.0526987081043,-82.5638748413959
34.028056,-32.7256787944956,-148.368842128903,-40.0151892856633,-80.9025499329822,-29.307319151025,-44.7678863912476,-36.7434130044593,-119.354760871824,-38.3653723700808,-94.8374889790344,-31.2098564817852,-152.288710296499,-38.4943609805434,-86.5877162003896
34.228457,-31.9700715948008,-143.501088654935,-41.3487107116853,-77.150063290258,-29.7427752989789,-43.637201279097,-36.1703734768965,-120.06045973842,-37.6440169940126,-94.3033557269421,-30.7378773007869,-150.005524696716,-38.7087800162356,-88.0155021289529
34.428858,-32.0329155884227,-146.749835497144,-41.4858743802231,-65.7715138320057,-29.4261455680993,-42.7763973292485,-37.1947814964902,-119.56378873229,-37.9955107840927,-98.4741021585413,-30.983001613139,-150.54462085016,-38.7502009389466,-89.0544050737008
34.629259,-32.0029715084987,-143.344300451633,-40.8841400604273,-71.8936675001146,-29.6426477195708,-44.492631965672,-37.1362081290934,-116.356128095431,-38.1519406568415,-95.7325556266608,-30.7372852352755,-151.397906516254,-39.0169108383565,-88.4534405023659
34.829659,-32.0154045857976,-148.236120324921,-40.4163341963853,-70.679061553082,-29.6845910011747,-45.7162812571774,-37.5138287184405,-114.961238309048,-37.8101505546863,-99.7684294036607,-30.7121447801809,-149.958420320259,-38.9830685379451,-98.7145984585848
35.03006,-32.6141564570495,-147.524338700588,-42.3275748356713,-61.2629272498947,-29.9494951537405,-46.0624016870301,-38.0681900005399,-116.132149876107,-38.3840365007598,-99.1216206878648,-30.9632653189075,-155.188928214289,-37.8968449484311,-94.2194993533091
35.230461,-32.4940238522211,-145.234641596956,-42.6678833082879,-62.8670979263375,-29.9725840323309,-45.8891893908436,-37.8478493293738,-119.7950845642,-38.4450717079118,-96.1197927452932,-30.7247405424704,-155.149022591676,-39.2037322758539,-97.5220144273231
35.430862,-32.4842911907813,-151.664680493641,-41.894382851559,-59.8683948770053,-30.0071292579437,-45.7416162480597,-38.1399971748312,-113.408021510151,-38.1988265870592,-96.2022446856492,-30.8803570404509,-153.504202824559,-39.590405058296,-102.002767694872
35.631263,-32.020661757875,-148.355704902288,-41.0435181001049,-52.0092228288413,-30.3135959751584,-46.362172056747,-39.5329222351574,-112.608674042558,-37.7288556223154,-99.0856061257241,-30.776539642179,-154.849902986708,-39.5024678882728,-96.4975938417691
35.831663,-32.6090775462255,-149.94480107457,-42.1347381712626,-65.3232679159697,-30.2957374745846,-45.142917907311,-38.6808372119542,-120.112765320402,-37.9380598081082,-100.701831569708,-30.9076607129813,-155.218977968903,-39.5746811734473,-98.3077048781702
36.032064,-32.5005763264486,-153.054265238333,-43.8515798563216,-43.7016251878578,-30.583406754149,-48.3994059806015,-39.4581620350247,-119.324565821586,-38.4586248291953,-102.187273886801,-30.5024113275888,-154.796933421433,-38.80818381391,-98.7293143834736
36.232465,-32.654605928203,-148.246012676716,-43.0414021599634,-51.468162904699,-30.4360077656885,-45.3693222941,-38.633879516466,-113.270970579064,-38.9615504469571,-98.9365019050376,-30.6668140425831,-157.4745533298,-39.4537051609188,-97.6005851735972
36.432866,-32.631801800321,-154.455572062735,-42.1924096782478,-51.381263732855,-30.5599109427576,-43.9716738003268,-38.8951253294234,-121.217615770429,-38.8178812269954,-97.7262206921923,-30.7882517137827,-155.930414962424,-39.3485130047272,-98.697317138685
36.633267,-32.2739365431027,-151.814836856123,-42.9708170256284,-50.8700103877006,-30.7900875670583,-44.9359700550894,-40.3745562280611,-115.143810884932,-38.9569356299607,-94.3997445929205,-30.2460652267779,-158.212730048042,-39.1344670598036,-96.3415328017688
36.833667,-32.466097702943,-153.400216261188,-43.1284974329128,-36.4270781336361,-30.8292941431528,-44.7565374603626,-40.8901436897412,-114.042344498136,-40.241051029554,-101.391372601491,-30.5805509900452,-159.569835599019,-40.0501284193721,-100.249179243604
37.034068,-32.668276277215,-156.051973331813,-42.424945302789,-34.194900633604,-30.5849637197998,-46.0426453311949,-41.3392217403987,-116.640292701484,-39.6848314179707,-97.2687446775098,-30.534846977898,-158.759186687587,-39.9537014959886,-96.225686594978
37.234469,-32.4895582130154,-154.153764312494,-43.7636367296748,-32.9095109532964,-30.6236108998253,-44.0753939249887,-42.3721161148917,-112.719337143709,-39.2104939615341,-96.3738626553297,-30.6013167431635,-158.299763002106,-39.781254133075,-95.6478654287826
37.43487,-32.7781213755246,-156.925469081308,-41.7470774144745,-30.9742809133857,-30.7354499104673,-46.9168731519847,-41.4327898647132,-115.201420447635,-40.0937328667459,-99.3031964531844,-30.5405361097434,-158.576996460286,-41.136392496637,-96.8657904028339
37.635271,-32.7219409148084,-155.162994678531,-40.9380185109518,-36.2612920818629,-30.678155200074,-44.3940929343283,-41.4250019901434,-113.957647090661,-39.6510500259878,-98.1819190935896,-30.4451080319254,-159.290489026256,-39.6279788456879,-104.544123160133
37.835671,-32.5179900712894,-153.298555602541,-41.883408469901,-37.9659628524862,-30.8644518832428,-42.9531635146318,-41.4172454506123,-112.199216288187,-39.9425110639201,-97.2079505347647,-30.4301614048851,-158.285598593607,-39.9294180601872,-98.076619840498
38.036072,-33.1484137273642,-157.270228037608,-40.5740960443772,-31.0727182737159,-30.8799511949438,-43.2471088812813,-41.8759698512431,-111.773429807755,-39.8264651877187,-95.103959807992,-30.6192623888514,-157.206193421036,-39.7794281558178,-98.8517423305767
38.236473,-32.8089721629768,-158.286282566954,-41.2424190609254,-27.3076855131331,-31.0749434574252,-45.8976855910972,-42.6369794550037,-105.889003054522,-40.1240239198503,-91.7923755385954,-30.1206398756046,-160.865722442001,-40.6690399845615,-98.319500862429
38.436874,-32.6520794434632,-155.465273313404,-40.4256683461925,-31.2551574034521,-31.2058545169536,-43.5214386219476,-42.766732749069,-96.1567945798471,-40.20835457294,-93.1524145765087,-30.7603457613674,-159.878009360928,-40.89735326897,-102.881878469793
38.637275,-33.5224132831098,-156.338886074028,-41.6139033150332,-27.7918382557219,-31.0865245349277,-42.7875705770117,-42.5244305302323,-100.447664824779,-39.5345300449751,-98.1077915709908,-30.4468306735022,-160.504727939007,-39.7074447617428,-101.56462185378
38.837675,-33.0848951516621,-155.589127354479,-40.0705154540696,-28.899773366257,-31.3962978936128,-44.2142300433404,-42.1389215610643,-103.053316348634,-40.2046787358678,-94.7746298864911,-30.4192633022226,-162.620644064969,-39.2954901231107,-104.591852963516
39.038076,-33.3740960042006,-155.893066429301,-39.2011551435974,-23.7754780052722,-31.1984995821813,-41.8502430756191,-41.9904378435892,-95.3262388438047,-39.5551060809164,-92.0882358553331,-30.460037350962,-161.059492765391,-40.3162910334474,-97.4535861714184
39.238477,-33.559086968,-156.879025058983,-39.9455711232174,-25.9250690865508,-31.1095328150303,-43.7266220989397,-41.6127665047753,-101.890010102607,-40.194914905227,-91.8840449090092,-30.4461492285009,-162.205156536511,-40.75725497004,-99.3916820456561
39.438878,-33.3102243789279,-157.260252221382,-39.3267720076899,-22.764659282798,-31.1389003720058,-42.1827196819522,-40.7715357601882,-93.6370897669871,-38.9234964669092,-92.9696662984533,-30.4523629603936,-160.917649055369,-39.5877561769738,-95.3823837931294
39.639279,-33.7123445088044,-157.509181634412,-38.8214055391884,-28.2934984920898,-30.7794438923551,-43.1274546922519,-41.7528812452109,-102.379511188358,-39.4002052380818,-86.5626485994288,-30.5134502922492,-162.047069989402,-39.3939609326665,-98.9260386182295
39.839679,-32.7384806635579,-157.301860474063,-38.9362339009314,-30.2232563688115,-30.8756249633291,-43.0892729037205,-41.0847974734676,-94.4112952954458,-39.8182669245436,-94.4890453094118,-30.6481943643188,-161.300211315848,-39.5958031283357,-103.724963978378
40.04008,-32.8860854194287,-155.139898226008,-39.4471086949968,-29.2777757321464,-30.9571679507605,-42.0575736117306,-40.4024332524505,-89.5761430043344,-39.5473211185879,-94.397488975007,-30.462154202169,-160.27209779222,-39.3474147731021,-102.484183835479
40.240481,-33.5641657555957,-156.534982084151,-38.9832495408307,-27.9934205995476,-30.9405005745976,-41.19694717586,-42.305960626071,-89.1712091523545,-40.5703033566638,-93.7491537554792,-30.5535822733364,-161.301888869215,-40.368942896993,-101.011730814482
40.440882,-33.5402557321736,-157.056302002948,-39.8106027814729,-33.7270481513037,-31.0418463648125,-40.0368918026813,-41.584794285582,-84.4269118290061,-38.9573685586551,-92.0037851469782,-30.7294555012852,-162.116265050448,-40.8323199294719,-101.869320993818
40.641283,-33.5590897914796,-156.334484380274,-38.562043287959,-31.8037942501612,-30.7421338336281,-40.6686331167889,-42.0692898484761,-90.0213642344059,-39.6033724424643,-85.4898379192601,-30.4058938408144,-160.380411856104,-40.1840668204524,-95.9981213755421
40.841683,-33.3821407922807,-155.915657538126,-38.7812128022864,-32.6166813359498,-31.0701048515074,-43.1771670411092,-40.4867749450418,-85.417038096294,-39.7548287155666,-90.7918999860198,-30.5736840911377,-160.062098956099,-41.3377472647746,-101.031071748778
41.042084,-33.3549474619848,-155.977421441861,-38.3236220946634,-33.087856324259,-30.7819978607325,-42.2316863560641,-42.6654930640127,-94.5072013826241,-40.1795631481988,-94.1872726791625,-30.2481821802588,-161.038165866525,-39.3606190883752,-106.081681160465
41.242485,-33.4963703811184,-149.649763232892,-37.9927272761053,-29.0670374658652,-30.7388619683346,-44.3620910442188,-41.3289168541916,-90.307189496018,-40.5934546176405,-87.3317172237389,-30.2991290790758,-161.637501144474,-38.6726608335145,-101.750189778492
41.442886,-33.0811484463084,-153.822554216559,-37.0361242768701,-29.2045406713228,-30.8799599766831,-46.316855670687,-40.6948937098247,-92.5214966030731,-40.0666641840925,-86.0996987623069,-30.2739082769853,-160.938953340319,-39.205454212516,-104.91202748912
