"Measurements made using standards comprising SHORT, OPEN, and 50Ω (actual 50.95Ω), via  a MS147 jack.  Cable data include a push-on female jack.  S22 (jack end) is worse than the S11 (SMA(f) end). Field loads are measured to be 19.6, 62.8 and 194.7Ω.  A priori values were 19.49, 49.99, and 194.65Ω.  Solder cracks formed during transport.",,,,,,,,
,,,,,,,,
,,,,,,,,
Frequency,S11,,S21,,S22,,,
(MHz),(dB),(°),(dB),(°),(dB),(°),,
84.25,-28.5304548,16.40257099,-0.082444798,-46.64396511,-32.72766332,-1.36475377,,
84.745,-28.45309226,16.21746767,-0.08218067,-46.92103552,-32.60362999,-1.958913204,,
85.24,-28.43272001,15.618735,-0.082616106,-47.19412337,-32.57626505,-1.615964681,,
85.735,-28.38361912,15.1748675,-0.082375645,-47.46767878,-32.45135394,-2.942942655,,
86.23,-28.39425175,14.88879843,-0.082734291,-47.73764719,-32.35950131,-2.198445935,,
86.725,-28.33990925,14.53170996,-0.083182187,-48.00970324,-32.33464558,-2.919258283,,
87.22,-28.33299368,14.16690923,-0.083674744,-48.28127961,-32.25873388,-2.599977753,,
87.715,-28.28270384,13.48254119,-0.084447613,-48.56167578,-32.26350412,-4.116594511,,
88.21,-28.26190981,13.10589855,-0.083801362,-48.82518247,-32.36364836,-3.785468575,,
88.705,-28.28896997,12.74323556,-0.084183881,-49.0995038,-32.19106615,-4.50937066,,
89.2,-28.28345155,12.54493379,-0.084404892,-49.36870264,-32.22210249,-4.791868666,,
89.695,-28.22733496,12.15538073,-0.084856857,-49.64087104,-32.14714787,-5.542044144,,
90.19,-28.19377984,11.92809027,-0.084167601,-49.91414835,-32.13226145,-5.434393694,,
90.685,-28.16418952,11.21431536,-0.086160768,-50.19295898,-32.09130812,-5.48959341,,
91.18,-28.16414851,10.78181666,-0.086276772,-50.45804107,-32.13317489,-6.617136598,,
91.675,-28.1317561,10.47434025,-0.086402913,-50.72957001,-32.08503829,-6.871838434,,
92.17,-28.13060188,10.12056496,-0.086416603,-50.99813363,-32.03201363,-6.618760241,,
92.665,-28.07733438,9.829850867,-0.086393494,-51.2696776,-32.05964319,-6.916338596,,
93.16,-28.095892,9.111760984,-0.087092312,-51.55353139,-31.9543214,-7.873973123,,
93.655,-28.01954168,8.798878461,-0.086494756,-51.8153575,-31.82861916,-7.588402733,,
94.15,-28.02509192,8.369603284,-0.087190694,-52.09257742,-31.92019557,-7.668642511,,
94.645,-27.98311036,8.229928301,-0.087406904,-52.36286349,-31.83956751,-8.253938238,,
95.14,-27.98797432,7.743783133,-0.087874477,-52.63135492,-31.771491,-8.566099547,,
95.635,-27.94547415,7.35299739,-0.088231096,-52.90893737,-31.68012336,-9.364296147,,
96.13,-27.94676892,6.568259646,-0.088380879,-53.18073455,-31.77160621,-9.654444068,,
96.625,-27.93113138,6.321116151,-0.089040854,-53.45193474,-31.76347794,-9.737646634,,
97.12,-27.90386084,6.216688919,-0.089127383,-53.72790094,-31.56508808,-10.01213359,,
97.615,-27.89926461,5.547456781,-0.088970971,-53.99459221,-31.6975021,-10.13722636,,
98.11,-27.84199092,5.290113914,-0.088822009,-54.26638216,-31.59894716,-10.60067611,,
98.605,-27.84286429,4.789338068,-0.089577513,-54.54022871,-31.5544488,-10.72116043,,
99.1,-27.84481297,4.313774813,-0.089671923,-54.81478796,-31.43313582,-11.16975518,,
99.595,-27.82683428,4.107640086,-0.090165451,-55.08331578,-31.49801576,-11.46914973,,
100.09,-27.79689112,3.561138637,-0.090660947,-55.35557848,-31.44160319,-11.43579181,,
100.585,-27.8068717,3.235753766,-0.090681163,-55.62504489,-31.48762578,-12.15572221,,
101.08,-27.7583358,2.865972327,-0.091456228,-55.89794813,-31.36895743,-12.52892667,,
101.575,-27.75250402,2.264833908,-0.091121903,-56.16972973,-31.38982761,-12.98965001,,
102.07,-27.74473005,1.966021738,-0.091248578,-56.44818137,-31.2566263,-13.22099092,,
102.565,-27.73401117,1.446408189,-0.091614206,-56.7167073,-31.25096685,-13.38580795,,
103.06,-27.71612076,1.112968839,-0.091170866,-56.98869629,-31.25031456,-13.73149849,,
