LEDA 18May cable calibration by E. Tong. 05/31/18,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Measurements made using standards comprising SHORT, OPEN, and 50Ω (actual 50.95Ω), via a MS147 jack.  Cable data include the push-on female jack.  S22 (jack end) is worse than the S11 (SMA(f) end). Field loads are measured to be 19.6, 62.8 and 194.7Ω.  A priori values were 19.49, 49.99, and 194.65Ω.  Solder cracks formed during transport.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,7 dB attenuator (BW3),,SMA(m) barrel,,,,,,,,,,,,,
Frequency,S21,,S21,,S11,,,,,,,,,,,
(MHz),(dB),(°),(dB),(°),(dB),(°),,,,,,,,,,
89.695,-6.980981142,-2.7607584,-0.012512666,-2.5186517, < -50,--,,,,,,,,,,
90.19,-6.984572366,-2.7642723,-0.013336866,-2.5363746, < -50,--,,,,,,,,,,
90.685,-6.984769381,-2.8058531,-0.013712698,-2.5670023, < -50,--,,,,,,,,,,
91.18,-6.984934321,-2.7942338,-0.016965683,-2.5521321, < -50,--,,,,,,,,,,
91.675,-6.983382616,-2.808549,-0.014644256,-2.5943864, < -50,--,,,,,,,,,,
92.17,-6.985676309,-2.8256809,-0.014933186,-2.5903854, < -50,--,,,,,,,,,,
92.665,-6.983072558,-2.8593302,-0.013720775,-2.6132233, < -50,--,,,,,,,,,,
93.16,-6.984242767,-2.8431301,-0.01110176,-2.6187336, < -50,--,,,,,,,,,,
93.655,-6.983822437,-2.8756246,-0.016102921,-2.6452353, < -50,--,,,,,,,,,,
94.15,-6.984051879,-2.8969827,-0.014955151,-2.6425403, < -50,--,,,,,,,,,,
94.645,-6.982667716,-2.9043403,-0.014904054,-2.6598132, < -50,--,,,,,,,,,,
95.14,-6.984200939,-2.9406929,-0.012164844,-2.6929216, < -50,--,,,,,,,,,,
95.635,-6.981818247,-2.9254317,-0.013802908,-2.6893201, < -50,--,,,,,,,,,,
96.13,-6.983314498,-2.9398744,-0.013080062,-2.7024748, < -50,--,,,,,,,,,,
96.625,-6.981928184,-2.9715101,-0.015375677,-2.7312965, < -50,--,,,,,,,,,,
97.12,-6.981279369,-2.9683745,-0.01378443,-2.7301044, < -50,--,,,,,,,,,,
97.615,-6.98464067,-2.9744861,-0.015033985,-2.7337368, < -50,--,,,,,,,,,,
98.11,-6.980517542,-3.0096312,-0.014022755,-2.7560311, < -50,--,,,,,,,,,,
98.605,-6.981188403,-3.0320663,-0.011403355,-2.7729643, < -50,--,,,,,,,,,,
99.1,-6.980728749,-3.0394645,-0.012395655,-2.7983267, < -50,--,,,,,,,,,,
99.595,-6.982335018,-3.0596064,-0.014826371,-2.7982752, < -50,--,,,,,,,,,,
100.09,-6.982924888,-3.0673151,-0.01337977,-2.8120328, < -50,--,,,,,,,,,,
100.585,-6.982581849,-3.0878501,-0.014236364,-2.8348554, < -50,--,,,,,,,,,,
101.08,-6.982548473,-3.1080401,-0.013994272,-2.8564828, < -50,--,,,,,,,,,,
101.575,-6.985159113,-3.113137,-0.013988387,-2.8435709, < -50,--,,,,,,,,,,
102.07,-6.981674682,-3.1282811,-0.012639813,-2.8604618, < -50,--,,,,,,,,,,
102.565,-6.981358669,-3.1446187,-0.014020348,-2.8777192, < -50,--,,,,,,,,,,
103.06,-6.984432513,-3.167412,-0.017631718,-2.9058575, < -50,--,,,,,,,,,,
103.555,-6.983167847,-3.1724313,-0.012781298,-2.9248572, < -50,--,,,,,,,,,,
104.05,-6.983204651,-3.1919618,-0.013573581,-2.9189021, < -50,--,,,,,,,,,,
104.545,-6.98161084,-3.1943465,-0.012593317,-2.9356837, < -50,--,,,,,,,,,,
105.04,-6.984080258,-3.2211825,-0.015545541,-2.9561996, < -50,--,,,,,,,,,,
105.535,-6.982047487,-3.2372308,-0.011708108,-2.9702096, < -50,--,,,,,,,,,,
106.03,-6.983631027,-3.262906,-0.013893179,-2.9796012, < -50,--,,,,,,,,,,
106.525,-6.984006269,-3.2824948,-0.01496263,-2.9891801, < -50,--,,,,,,,,,,
107.02,-6.984449755,-3.2819924,-0.017059973,-3.0215316, < -50,--,,,,,,,,,,
107.515,-6.980629807,-3.2999816,-0.013387041,-3.0209785, < -50,--,,,,,,,,,,
108.01,-6.982102963,-3.3098712,-0.013533909,-3.0287482, < -50,--,,,,,,,,,,
108.505,-6.983922003,-3.3264707,-0.01700349,-3.0559638, < -50,--,,,,,,,,,,
109,-6.983793141,-3.342802,-0.01473431,-3.0574583, < -50,--,,,,,,,,,,
